transientid,ML_PROB
59088.65317956651_DM_130.47_beam_538C_frbid.hdf5,1.0
59088.6533521383_DM_130.78_beam_540C_frbid.hdf5,1.0
59088.654174947595_DM_131.09_beam_715C_frbid.hdf5,1.0
59088.6544404042_DM_130.78_beam_715C_frbid.hdf5,1.0
59088.6544669559_DM_131.40_beam_715C_frbid.hdf5,1.0
59088.654493532405_DM_130.17_beam_715C_frbid.hdf5,1.0
59088.65493152_DM_130.17_beam_715C_frbid.hdf5,1.0
59088.655183676_DM_128.63_beam_715C_frbid.hdf5,1.0
59088.655289797694_DM_130.78_beam_715C_frbid.hdf5,1.0
59088.65563504941_DM_128.33_beam_715C_frbid.hdf5,1.0
59088.65574110731_DM_129.55_beam_715C_frbid.hdf5,1.0
59088.656842649696_DM_130.78_beam_715C_frbid.hdf5,1.0
59088.6571479285_DM_131.70_beam_715C_frbid.hdf5,1.0
59088.65737343179_DM_130.47_beam_0I_frbid.hdf5,1.0
59088.6576256976_DM_131.40_beam_715C_frbid.hdf5,1.0
59088.65816982651_DM_130.47_beam_715C_frbid.hdf5,1.0
59088.6657906804_DM_374.23_beam_430C_frbid.hdf5,0.5621313
59088.666329999294_DM_181.13_beam_134C_frbid.hdf5,1.0
59088.6681802898_DM_181.44_beam_134C_frbid.hdf5,1.0
59088.6681954105_DM_180.82_beam_0I_frbid.hdf5,1.0
59088.6690979747_DM_179.59_beam_134C_frbid.hdf5,1.0
59088.7003771381_DM_370.55_beam_233C_frbid.hdf5,1.0
59088.7004985667_DM_369.94_beam_233C_frbid.hdf5,1.0
59088.700547087_DM_370.24_beam_233C_frbid.hdf5,1.0
59088.7010447708_DM_370.55_beam_233C_frbid.hdf5,1.0
59088.701190441796_DM_369.94_beam_233C_frbid.hdf5,1.0
59088.702768525094_DM_369.63_beam_233C_frbid.hdf5,1.0
59088.703254046_DM_371.16_beam_233C_frbid.hdf5,1.0
59088.704334390706_DM_371.16_beam_233C_frbid.hdf5,1.0
59088.7043829624_DM_369.63_beam_233C_frbid.hdf5,1.0
59088.704965667595_DM_370.24_beam_233C_frbid.hdf5,1.0
59088.7051355987_DM_370.86_beam_233C_frbid.hdf5,1.0
59088.7061917151_DM_369.94_beam_233C_frbid.hdf5,1.0
59088.7062281187_DM_369.94_beam_233C_frbid.hdf5,1.0
59088.7239432221_DM_54.03_beam_689C_frbid.hdf5,0.99754494
59088.723947783896_DM_51.58_beam_569C_frbid.hdf5,0.91992766
59088.7239479788_DM_52.50_beam_189C_frbid.hdf5,0.93613327
59088.7277421717_DM_53.42_beam_7C_frbid.hdf5,0.9999894
59088.7281886182_DM_54.65_beam_7C_frbid.hdf5,1.0
59088.7283744269_DM_54.34_beam_7C_frbid.hdf5,1.0
59088.7985169324_DM_22.41_beam_357C_frbid.hdf5,0.9999894
59088.798672641395_DM_22.41_beam_9C_frbid.hdf5,0.9999987
59088.7990948455_DM_23.64_beam_168C_frbid.hdf5,0.9999865
59088.799098288895_DM_23.33_beam_349C_frbid.hdf5,0.9999819
59088.801527886506_DM_23.02_beam_99C_frbid.hdf5,1.0
59099.777649676296_DM_53.11_beam_583C_frbid.hdf5,0.9541506
59099.7776619437_DM_38.38_beam_736C_frbid.hdf5,0.852394
59099.77787127889_DM_52.50_beam_661C_frbid.hdf5,0.9397859
59099.816186177595_DM_59.25_beam_0C_frbid.hdf5,1.0
59099.817559083494_DM_59.87_beam_0C_frbid.hdf5,1.0
59099.8182913089_DM_59.25_beam_0C_frbid.hdf5,1.0
59099.8373205114_DM_42.06_beam_382C_frbid.hdf5,0.99999905
59099.8400042222_DM_45.13_beam_202C_frbid.hdf5,0.9999995
59099.8441554154_DM_44.21_beam_0I_frbid.hdf5,1.0
59099.844155420804_DM_42.98_beam_713C_frbid.hdf5,0.9999999
59099.8442933595_DM_43.59_beam_92C_frbid.hdf5,0.99996483
59099.8464126297_DM_44.82_beam_735C_frbid.hdf5,1.0
59099.8466384077_DM_44.52_beam_0I_frbid.hdf5,1.0
59099.8467637387_DM_43.90_beam_0I_frbid.hdf5,1.0
59146.5444920536_DM_72.76_beam_0I_frbid.hdf5,1.0
59146.5462658825_DM_73.07_beam_373C_frbid.hdf5,1.0
59146.5491329208_DM_73.07_beam_0I_frbid.hdf5,1.0
59146.5579701249_DM_245.60_beam_108C_frbid.hdf5,1.0
59146.557970135495_DM_244.99_beam_0I_frbid.hdf5,1.0
59146.5581727362_DM_244.68_beam_0I_frbid.hdf5,1.0
59146.558257116_DM_246.21_beam_173C_frbid.hdf5,1.0
59146.5588312241_DM_244.99_beam_0I_frbid.hdf5,1.0
